page,query,clicks,impressions,ctr,position
https://www.williamsburgmedspa.com/,williamsburg med spa,5,23,0.21739130434782608,2
https://williamsburgmedspa.com/,med spa williamsburg va,2,15,0.13333333333333333,3.1333333333333333
https://www.williamsburgmedspa.com/,med spa williamsburg va,2,126,0.015873015873015872,4.7936507936507935
https://www.williamsburgmedspa.com/,medspa williamsburg,2,59,0.03389830508474576,4.203389830508474
https://williamsburgmedspa.com/,botox williamsburg va,1,1,1,14
https://www.williamsburgmedspa.com/,med spa williamsburg,1,42,0.023809523809523808,30.547619047619047
https://www.williamsburgmedspa.com/,medspa williamsburg va,1,31,0.03225806451612903,3.774193548387097
https://www.williamsburgmedspa.com/procedures/blohmdahl-ear-piercing,ear piercing for baby near me,1,1,1,5
https://www.williamsburgmedspa.com/procedures/blohmdahl-ear-piercing,ear piercing williamsburg va,1,26,0.038461538461538464,9.26923076923077
https://www.williamsburgmedspa.com/procedures/blohmdahl-ear-piercing,where can i get my ears pierced,1,3,0.3333333333333333,3.6666666666666665
https://www.williamsburgmedspa.com/procedures/prp-breast-lift,prp breast lift near me,1,2,0.5,12.5
https://williamsburgmedspa.com/,chemical peel near me,0,1,0,1
https://williamsburgmedspa.com/,chemical peels near me,0,1,0,1
https://williamsburgmedspa.com/,dermaplaning near me,0,1,0,14
https://williamsburgmedspa.com/,hydrafacial near me,0,3,0,18.666666666666668
https://williamsburgmedspa.com/,hydrafacial williamsburg va,0,1,0,19
https://williamsburgmedspa.com/,lip flips near me,0,1,0,1
https://williamsburgmedspa.com/,med spa,0,1,0,1
https://williamsburgmedspa.com/,med spa near me,0,3,0,9
https://williamsburgmedspa.com/,med spa williamsburg,0,2,0,5
https://williamsburgmedspa.com/,med\,0,1,0,9
https://williamsburgmedspa.com/,medi pedi spa near me,0,1,0,8
https://williamsburgmedspa.com/,medical spa,0,30,0,112.33333333333333
https://williamsburgmedspa.com/,medical spa membership near me,0,1,0,13
https://williamsburgmedspa.com/,medical spa near me,0,3,0,33
https://williamsburgmedspa.com/,medspa,0,1,0,1
https://williamsburgmedspa.com/,medspa events,0,4,0,1
https://williamsburgmedspa.com/,medspa williamsburg,0,1,0,12
https://williamsburgmedspa.com/,medspa williamsburg va,0,4,0,4.75
https://williamsburgmedspa.com/,medspas near me,0,1,0,11
