query,clicks,impressions,ctr,position
williamsburg med spa,8,44,0.18181818181818182,1.75
med spa williamsburg va,3,145,0.020689655172413793,7.772413793103448
botox near me,1,8,0.125,20.25
botox williamsburg,1,118,0.00847457627118644,22.60169491525424
ear piercing for babies near me,1,1,1,5
ear piercing near me,1,7,0.14285714285714285,5
ear piercing williamsburg va,1,32,0.03125,8.6875
is it included in the price,1,1,1,1
med spa,1,5,0.2,4.4
med spa williamsburg,1,60,0.016666666666666666,22.3
needle ear piercing near me,1,2,0.5,6
where to get your ears pierced near me,1,2,0.5,3.5
williamsburg botox,1,8,0.125,24.25
advanced med spa care in virginia,0,3,0,62.333333333333336
aesthetic services williamsburg va,0,2,0,14.5
aesthetics near me,0,1,0,12
alternative medi spa,0,19,0,10.578947368421053
anti-aging procedure williamsburg va,0,3,0,34.333333333333336
anti-aging treatment williamsburg va,0,1,0,33
are they reputable,0,1,0,2
baby ear piercing near me,0,1,0,12
best med spa ashburn va,0,2,0,97
best med spa leesburg va,0,1,0,99
best medical spa near me,0,2,0,87
best spa in williamsburg va,0,4,0,68.5
best spas in williamsburg va,0,2,0,46.5
blomdahl ear piercing near me,0,1,0,18
body contouring williamsburg,0,20,0,55.4
body contouring williamsburg va,0,26,0,63.15384615384615
body piercing near me,0,1,0,8
"botox blacksburg,virginia",0,1,0,74
botox clinic williamsville,0,15,0,81.26666666666667
botox in newport news va,0,2,0,47
botox membership near me,0,2,0,13
botox middleburg,0,3,0,61.333333333333336
botox middleburg va,0,8,0,78.625
botox near ne,0,1,0,9
botox newport news,0,5,0,41.6
botox parties near me,0,3,0,94.66666666666667
botox party washington dc,0,1,0,51
botox sales near me,0,1,0,11
botox williamsburg va,0,69,0,20.55072463768116
botox® cosmetic williamsburg va,0,2,0,18
botox® williamsburg va,0,2,0,30.5
breast augmentation williamsburg,0,2,0,40
breast augmentation williamsburg va,0,20,0,39.3
breast lift norfolk va,0,1,0,77
breast lift williamsburg,0,39,0,12.487179487179487
breast lift williamsburg va,0,38,0,16.684210526315788
breast reduction williamsburg va,0,31,0,49.935483870967744
c02liftv,0,3,0,44.333333333333336
c02liftv otsego,0,1,0,11
childrens ear piercing near me,0,1,0,8
clinic williamsburg,0,2,0,66
co aesthetic,0,1,0,1
co2 carboxy lift in fleming island,0,2,0,50.5
co2 lift and the co2 v lift williamsville ny,0,1,0,43
co2lift v,0,3,0,89.33333333333333
colonial aesthetics and wellness,0,1,0,62
contour med spa,0,2,0,9.5
contour restore williamsburg va,0,1,0,17
coolsculpting near me,0,3,0,15
cosmetic enhancements williamsburg va,0,1,0,42
cosmetic surgery newport news,0,4,0,49
cosmetic surgery williamsburg va,0,6,0,74
cosmetic treatments williamsburg va,0,2,0,21
couture med spa williamsburg,0,1,0,41
cryotherapy clinic near me,0,5,0,16.8
day spa in williamsburg va,0,4,0,65.5
day spas in williamsburg va,0,4,0,63
definage,0,2,0,18
dermal fillers burke va,0,1,0,79
dermal fillers front royal,0,3,0,88.33333333333333
dermal fillers great falls va,0,1,0,92
dermal fillers in virginia,0,3,0,87
