Date,Clicks,Impressions,CTR,Position
2025-08-28,0,0,,
2025-08-29,0,0,,
2025-08-30,0,0,,
2025-08-31,0,0,,
2025-09-01,0,0,,
2025-09-02,0,3,0%,79.3
2025-09-03,0,2,0%,72.5
2025-09-04,0,4,0%,40.5
2025-09-05,0,3,0%,65.7
2025-09-06,0,3,0%,45.7
2025-09-07,0,9,0%,60.4
2025-09-08,0,7,0%,48.3
2025-09-09,0,11,0%,55.5
2025-09-10,0,6,0%,85.8
2025-09-11,0,10,0%,66.1
2025-09-12,1,11,9.09%,61.9
2025-09-13,0,2,0%,52
2025-09-14,0,3,0%,46
2025-09-15,0,4,0%,64.5
2025-09-16,0,4,0%,39
2025-09-17,0,1,0%,41
2025-09-18,1,3,33.33%,22
2025-09-19,0,1,0%,7
2025-09-20,0,4,0%,52.8
2025-09-21,0,2,0%,52.5
2025-09-22,0,5,0%,32.4
2025-09-23,0,1,0%,42
2025-09-24,0,5,0%,45
2025-09-25,0,1,0%,6
2025-09-26,0,4,0%,77.5
2025-09-27,0,3,0%,61
2025-09-28,0,3,0%,88.3
2025-09-29,0,3,0%,86.3
2025-09-30,0,8,0%,55
2025-10-01,0,4,0%,82.8
2025-10-02,0,12,0%,42.2
2025-10-03,0,6,0%,60
2025-10-04,0,4,0%,59.2
2025-10-05,0,4,0%,67
2025-10-06,0,4,0%,72.5
2025-10-07,0,6,0%,45
2025-10-08,0,4,0%,65.2
2025-10-09,0,5,0%,50.8
2025-10-10,0,7,0%,47
2025-10-11,0,5,0%,65.8
2025-10-12,0,5,0%,48
2025-10-13,0,5,0%,62.8
2025-10-14,0,9,0%,52.8
2025-10-15,0,6,0%,36.3
2025-10-16,1,8,12.5%,50.4
2025-10-17,0,9,0%,43.3
2025-10-18,0,9,0%,48.1
2025-10-19,0,8,0%,66.1
2025-10-20,0,7,0%,33.3
2025-10-21,0,13,0%,47.8
2025-10-22,0,10,0%,47.2
2025-10-23,0,9,0%,60.6
2025-10-24,0,4,0%,63.2
2025-10-25,0,7,0%,57
2025-10-26,0,6,0%,28
2025-10-27,0,6,0%,65.2
2025-10-28,0,7,0%,40.7
2025-10-29,0,16,0%,35.9
2025-10-30,0,14,0%,48.7
2025-10-31,0,11,0%,41.1
2025-11-01,3,30,10%,24.4
2025-11-02,0,15,0%,37.3
2025-11-03,0,9,0%,47.3
2025-11-04,0,7,0%,63.1
2025-11-05,0,16,0%,49.6
2025-11-06,0,12,0%,40.8
2025-11-07,0,5,0%,45
2025-11-08,0,5,0%,48.2
2025-11-09,0,11,0%,52.3
2025-11-10,0,8,0%,51.4
2025-11-11,0,9,0%,49.8
2025-11-12,0,10,0%,46
2025-11-13,0,8,0%,43.8
2025-11-14,0,8,0%,49.8
2025-11-15,0,7,0%,51.7
2025-11-16,0,5,0%,60.2
2025-11-17,1,16,6.25%,44.6
2025-11-18,0,11,0%,55.3
2025-11-19,0,21,0%,41.2
2025-11-20,0,17,0%,34.8
2025-11-21,1,22,4.55%,30.6
