query,protected_observed_owner,preferred_long_term_owner,status,current_28d_start,current_28d_end,current_owner_clicks,current_owner_impressions,current_owner_ctr,current_owner_position,current_all_pages_clicks,current_all_pages_impressions,d7_baseline_owner_clicks,d7_baseline_owner_impressions,d7_baseline_owner_ctr,d7_baseline_owner_position,d7_baseline_all_pages_clicks,d7_baseline_all_pages_impressions
medical spa williamsburg,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/,protect,2026-06-20,2026-07-17,0,877,0.000000,3.1904,0,987,0,131,0.000000,2.0916,0,132
med spa williamsburg va,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/,protect,2026-06-20,2026-07-17,2,110,0.018182,4.1091,2,306,1,26,0.038462,3.1538,1,91
med spa williamsburg,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/,protect,2026-06-20,2026-07-17,1,76,0.013158,6.7368,1,286,0,16,0.000000,3.3750,0,40
williamsburg med spa,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/,protect,2026-06-20,2026-07-17,3,34,0.088235,2.2353,3,96,1,8,0.125000,2.7500,1,24
botox williamsburg,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/procedures/botox,protect-current-owner; future-transfer-test-only,2026-06-20,2026-07-17,1,159,0.006289,19.4025,1,193,1,41,0.024390,17.4878,1,58
botox williamsburg va,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/procedures/botox,protect-current-owner; future-transfer-test-only,2026-06-20,2026-07-17,0,31,0.000000,14.8065,0,126,0,9,0.000000,19.1111,0,47
dermal fillers williamsburg,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/procedures/filler,protect-current-owner; future-transfer-test-only,2026-06-20,2026-07-17,0,34,0.000000,20.2647,0,95,0,7,0.000000,24.5714,0,20
dermal fillers williamsburg va,https://www.williamsburgmedspa.com/,https://www.williamsburgmedspa.com/procedures/filler,protect-current-owner; future-transfer-test-only,2026-06-20,2026-07-17,0,33,0.000000,11.1818,0,157,0,7,0.000000,10.8571,0,53
ear piercing williamsburg va,https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,protect,2026-06-20,2026-07-17,2,50,0.040000,6.0600,3,52,1,22,0.045455,5.7273,1,23
piercing williamsburg va,https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,protect,2026-06-20,2026-07-17,2,35,0.057143,9.1143,2,37,1,10,0.100000,9.4000,1,11
ear piercing near me,https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,protect,2026-06-20,2026-07-17,0,10,0.000000,5.0000,0,10,0,3,0.000000,4.0000,0,3
botox newport news,https://www.williamsburgmedspa.com/locations/newport-news-va,https://www.williamsburgmedspa.com/locations/newport-news-va,protect-near-win,2026-06-20,2026-07-17,0,82,0.000000,13.6585,0,82,0,19,0.000000,12.8421,0,19
botox newport news va,https://www.williamsburgmedspa.com/locations/newport-news-va,https://www.williamsburgmedspa.com/locations/newport-news-va,protect-near-win,2026-06-20,2026-07-17,0,20,0.000000,17.0500,0,20,0,11,0.000000,16.8182,0,11
dermal fillers newport news,https://www.williamsburgmedspa.com/locations/newport-news-va,https://www.williamsburgmedspa.com/locations/newport-news-va,protect-near-win,2026-06-20,2026-07-17,0,25,0.000000,10.0800,0,25,0,9,0.000000,9.7778,0,9
dermal fillers newport news va,https://www.williamsburgmedspa.com/locations/newport-news-va,https://www.williamsburgmedspa.com/locations/newport-news-va,protect-near-win,2026-06-20,2026-07-17,0,20,0.000000,11.1500,0,20,0,6,0.000000,10.0000,0,6
med spa newport news,https://www.williamsburgmedspa.com/locations/newport-news-va,https://www.williamsburgmedspa.com/locations/newport-news-va,protect-near-win,2026-06-20,2026-07-17,0,36,0.000000,14.6667,0,37,0,8,0.000000,13.3750,0,8
